concessionaria,ano,valor
CONCEBRA,2019,28741
CRO,2019,149266
MSVIA,2019,39235
ECOPONTE,2019,18377
VIA 040,2019,121269
VIA SUL,2019,1151126
ECOVIAS DO CERRADO,2019,[]
CATARINENSE HOLDING,2019,[]
CONCEPA,2020,[]
NOVADUTRA,2020,[]
CONCER,2020,4732
CRT,2020,424
ECOSUL,2020,42453
AUTOPISTA PLANALTO SUL,2020,79594
AUTOPISTA LITORAL SUL,2020,48918
AUTOPISTA REGIS BITTENCOURT,2020,84327
AUTOPISTA FLUMINENSE,2020,173921
TRANSBRASILIANA,2020,21965
RODOVIA DO AÇO,2020,3838
AUTOPISTA FERNÃO DIAS,2020,93949
VIA BAHIA,2020,49965
ECO101 CONCESSIONARIA DE RODOVIAS S/A,2020,194787
ECO050,2020,15854
CONCEBRA,2020,23328
CRO,2020,17576
MSVIA,2020,3823
ECOPONTE,2020,12737
VIA 040,2020,11941
VIA SUL,2020,75261
ECOVIAS DO CERRADO,2020,38732
CATARINENSE HOLDING,2020,[]
